Organization Name,Organization Name URL,SEMrush - Monthly Visits,Number of Contacts,Operating Status,Company Type,Last Funding Date,Full Description,Last Funding Type,Founded Date,Founded Date Precision,Industries,Headquarters Location,Description,CB Rank (Company),Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Investors,Top 5 Investors,Number of Lead Investors,Website,Headquarters Regions,Estimated Revenue Range,Twitter,Facebook,LinkedIn,Number of Investments,Number of Lead Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Founders,Number of Employees,Founders
AgentOps.ai /Staf.ai,https://www.crunchbase.com/organization/agentops,878,,Active,For Profit,,"AI Agents suck. We're fixing that. Build your next agent with graphs, monitoring, and replay analytics. Tools to make agents that work. No more black boxes and prompt guessing.",,2023-10-01,month,"Artificial Intelligence (AI), Developer APIs, Developer Platform, Developer Tools, Generative AI, SaaS, Software, Staffing Agency","San Francisco, California, United States","Build your next agent with graphs, monitoring, and replay analytics.","138,372",,,,,,,,,,https://www.agentops.ai/,"San Francisco Bay Area, West Coast, Western US",,https://twitter.com/AgentOpsAI,,https://www.linkedin.com/company/aistaff/,,,,,,3,1-10,"Adam Silverman, Alex Reibman, Shawn Qiu"
Immortal,https://www.crunchbase.com/organization/immortal,,,Active,For Profit,,"Immortal is building the next generation platform for large enterprises and Fortune 500 corporations. Headquartered in Palo Alto, the company is currently in stealth mode. In addition to the former Chief Architects of some of the most powerful engineering systems across the planet, Immortal’s founding team has a Fortune 10 CIO, a Fortune 100 CIO, a Federal CIO, and a Fortune 100 CMO.",,2024-01-01,year,"Artificial Intelligence (AI), Cloud Computing, Enterprise Applications, Enterprise Software, Internet of Things, Machine Learning","Palo Alto, California, United States",Immortal is building the next generation platform for large enterprises and Fortune 500 corporations.,"139,072",,,,,,,,,,https://immortal.earth,"San Francisco Bay Area, Silicon Valley, West Coast",,,,,,,,,,1,,Abraham King
Lumi AI,https://www.crunchbase.com/organization/lumi-ai,830,,Active,For Profit,2023-06-13,"Lumi AI develops software that leverages leading large language models and a proprietary context model to instantly answer operational questions written in plain language, eliminating the need for technical data resources to manually gather, analyze, and manipulate data using coding languages like SQL or Python.",Pre-Seed,2023-03-15,day,"Artificial Intelligence (AI), Information Technology, Internet, Software","Middletown, Delaware, United States","Get instant, accurate answers to operational questions with Lumi’s conversational AI software.","141,870",,,,,USD,,2,"Forum Ventures, Annex Investments",1,https://www.lumi-ai.com/,"Greater Philadelphia Area, East Coast, Southern US",,https://twitter.com/LumiAIOfficial,,https://www.linkedin.com/company/lumi-ai/,,,,,,,1-10,
Solve Intelligence,https://www.crunchbase.com/organization/solve-intelligence,439,1,Active,For Profit,2023-11-28,"We use AI to help you write high-quality patents quickly. We do this by providing a simple in-browser document editor that any patent attorney or inventor can start using straight away. Our product can help with all stages of the patent life cycle, from drafting and filing to prosecution and opposition. If you are an an inventor, a patent attorney, or even just an enthusiast interested in the intersection of AI and intellectual property, we would love to hear from you: https://www.solveintelligence.com/contact",Seed,2023-06-02,day,"Artificial Intelligence (AI), Business Intelligence, Data Management","San Francisco, California, United States",Use AI to help you write high-quality patents quickly,"142,875",,,,,USD,,5,"Team Ignite Ventures, Davidovs Venture Collective, NVO Capital, SAV (Scale Asia Ventures), Ilya Sedoshkin",,https://www.solveintelligence.com/,"San Francisco Bay Area, West Coast, Western US",,https://twitter.com/solveintel,,https://www.linkedin.com/search/results/all/?fetchDeterministicClustersOnly=true&heroEntityKey=urn%3Ali%3Aorganization%3A98020599&keywords=solve%20intelligence&origin=RICH_QUERY_TYPEAHEAD_HISTORY&position=0&searchId=6f3a0a5a-9a7b-44ae-aeb7-6e12003b67a1&sid=!D8,,,,,,3,1-10,"Angus Parsonson, Chris Parsonson, Sanj Ahilan"
Cyberknight,https://www.crunchbase.com/organization/cyberknight-inc,483,,Active,For Profit,2023-10-12,"Cyberknight, a pioneering company at the forefront of innovation in Artificial Intelligence, Biotechnology, Cybersecurity, Information Technology, Nanotechnology, Quantum Computing and Robotics. In an era defined by rapid technological advancement, Cyberknight stands as a beacon of progress, dedicated to shaping the future of these transformative fields.",Pre-Seed,2023-09-08,day,"Artificial Intelligence (AI), Biotechnology, Cyber Security, Information Technology, Machine Learning, Nanotechnology, Quantum Computing, Robotics, Software","Boston, Massachusetts, United States","A company at the forefront of innovation in AI, Biotechnology, Cybersecurity, IT, Nanotechnology, Quantum Computing and Robotics.","144,535",,,,,USD,,,,,https://cyberknight.uk/,"Greater Boston Area, East Coast, New England",,,,https://www.linkedin.com/company/cyberknight,,,,,,,1-10,
Collinear AI,https://www.crunchbase.com/organization/collinear-ai,,,Active,For Profit,,"Collinear AI is committed to enabling your LLMs to authentically reflect your distinct values and offerings, ensuring they don't produce generic ChatGPT-style responses. Our mission is to unleash the full potential of AI, surpassing current limitations and expectations.",,2023-11-28,day,"Artificial Intelligence (AI), Machine Learning, SaaS","San Francisco, California, United States",AI Alignment for Enterprise LLMs,"145,763",,,,,,,,,,https://collinear.ai/,"San Francisco Bay Area, West Coast, Western US",,https://twitter.com/CollinearAI,,https://www.linkedin.com/company/collinearai/,,,,,,1,1-10,Nazneen Rajani
PipeIQ,https://www.crunchbase.com/organization/pipeiq,,,Active,For Profit,,We are building the next generation marketing orchestration platform that leverages Generative AI from the ground up.,,2023-03-07,day,Generative AI,"Palo Alto, California, United States",Marketing and Sales Pipeline Acceleration using Generative AI,"147,570",,,,,,,,,,https://pipeiq.ai,"San Francisco Bay Area, Silicon Valley, West Coast",,,,,,,,,,1,1-10,Rajesh Kadam
MarianaAI,https://www.crunchbase.com/organization/marianaai,500,2,Active,For Profit,2023-08-30,"MarianaAI is automating clinical encounter workflows for healthcare providers in the US with SOTA AI Models across Transcription, Documentation, Medical Coding, Clinical Decision Support, etc.",Convertible Note,2023-06-01,month,"Artificial Intelligence (AI), Health Care, Machine Learning","San Jose, California, United States",MarianaAI makes providing healthcare more natural and rewarding with AI,"148,046",,,,,USD,,2,"Upsparks, AngelList India",2,https://marianaai.com,"San Francisco Bay Area, Silicon Valley, West Coast",,,,https://www.linkedin.com/company/mariana-ai/,,,,,,,1-10,
Nurdle AI,https://www.crunchbase.com/organization/nurdle-ai,,4,Active,For Profit,2023-11-13,"87% of AI projects never make it to production. Whether it’s because they are inaccurate, hallucinate, don’t work in real-world contexts, misunderstand real people or that they’re stuck before they start because of the “cold-start problem”, the issue comes down to not enough high-quality use-case specific, privacy-compliant labeled data for training.  But real-world human-labeled data is expensive and requires a lot of data science labor – and synthetic data is so low-quality and unrelated to the model’s actual use-case that it doesn’t improve performance much. Nurdle can help. By using real-world human-labeled kernel datasets built for specific use-cases, we produce enhanced synthetic datasets that perform almost as well as human-labeled at the speed and price of synthetic datasets. Contact us for a free data gap analysis showing you what kind of data you’re missing and how much you need for your performance target. Nurdle AI uses real-world custom use case datasets to generate synthetic datasets for accurate LLMs.",Venture - Series Unknown,2023-09-01,month,"Artificial Intelligence (AI), Big Data, Enterprise Software, Machine Learning","San Francisco, California, United States",Nurdle leverages privacy-compliant human-labeled datasets to create high-performance synthetic data.,"150,186",,,,,USD,,5,"Twilio, Intel Capital, Jackson Moses, Greycroft, Howard Charney",2,https://nurdle.ai,"San Francisco Bay Area, West Coast, Western US",,https://twitter.com/nurdleai,,https://www.linkedin.com/company/nurdle-ai,,,,,,2,11-50,"Josh Newman, Justin Davis"
Openmart,https://www.crunchbase.com/organization/openmart-da89,,,Active,For Profit,2023-10-15,,Pre-Seed,2023-08-01,month,"Artificial Intelligence (AI), B2B, Machine Learning, Retail, Shopping","San Francisco, California, United States",Help manufacturers sell to SMB easily,"151,699",,,,,USD,,2,"Y Combinator, Afore Capital",,https://www.openmart.ai/,"San Francisco Bay Area, West Coast, Western US",,,,https://www.linkedin.com/company/openmartai/,,,,,,1,11-50,Kathryn Wu
Medical Chat,https://www.crunchbase.com/organization/medical-chat,,,Active,For Profit,2023-11-02,"Medical Chat is an AI-powered platform designed to assist healthcare professionals in their daily diagnostic work by providing reliable and accurate medical information. With a comprehensive range of medical services, including medication specialties, patient education, and drug search capabilities, the platform streamlines the process of navigating various medical articles and saves valuable time. If you're a healthcare professional seeking trustworthy information across different medical specialties, Medical Chat is the ideal platform for you. You can rely on its accuracy and efficiency to get the answers you need without wasting time searching through multiple sources.",Pre-Seed,2023-04-01,day,"Artificial Intelligence (AI), Chatbot, Health Care, Health Diagnostics, Medical, Software, Wellness","Sunnyvale, California, United States",Medical Chat is an AI-powered chatbot that assists doctors in navigating topics in medication specialties.,"154,719",,,,,USD,,1,Plug and Play,,https://medical.chat-data.com/,"San Francisco Bay Area, Silicon Valley, West Coast",,,,,,,,,,,1-10,
Arteli,https://www.crunchbase.com/organization/arteli-7b4f,,,Active,For Profit,2023-07-01,"Arteli is a predictive analytics platform using artificial intelligence and machine learning to improve store optimization to drive higher revenue and margin.  It effortlessly connects executives with actionable insights, propelling their businesses towards transformation. It's not merely data; it's comprehension, informed decision-making, and, ultimately, the catalyst for achieving revolutionary outcomes. With Arteli's AI Analytics Interface, you're not merely staying in sync with your business; you're forging ahead as its leader.",Seed,2023-07-01,day,"Artificial Intelligence (AI), Business Intelligence, Software","New York, New York, United States",Predictive analytics platform using AI/ML to improve store optimization to drive higher revenue and margin.,"155,552",,,,,USD,,1,UP Partners,,http://www.arteli.com,"Greater New York Area, East Coast, Northeastern US",,,,https://www.linkedin.com/company/arteli-inc,,,,,,1,1-10,Martin Gilliard
Neum AI,https://www.crunchbase.com/organization/neum-ai,"3,566",,Active,For Profit,2023-07-01,,Seed,2023-05-30,day,"Artificial Intelligence (AI), Data Integration, Generative AI, Software","Seattle, Washington, United States",Helping developers build scalable generative AI applications,"157,499",,,,,USD,,1,Pioneer Fund,,https://neum.ai,"Greater Seattle Area, West Coast, Western US",,https://twitter.com/neum_ai,,https://www.linkedin.com/company/neumai/,,,,,,2,1-10,"David de Matheu, Kevin Cohen"
BlinqIO,https://www.crunchbase.com/organization/blinqio,,,Active,For Profit,2023-11-07,BlinqIO disrupts the testing market by  leveraging endless resources and intelligence of large language models such as GPT to perform functional application testing. The company target market are B2B development organizations.,Angel,2023-06-01,month,"Artificial Intelligence (AI), Generative AI, Software","Wilmington, Delaware, United States",BlinqIO leverages Generative AI into the software testing world.,"157,716",,,,,USD,,,,,https://blinq.io/,"Greater Philadelphia Area, East Coast, Southern US",,https://twitter.com/blinqio,,https://www.linkedin.com/company/blinq-io/,,,,,,2,1-10,"Guy Arieli, Tal Barmeir"
